observacion_id,fecha,ciudad,estacion_id,temp_max,temp_min,temp_media,precipitacion_mm,humedad_pct,velocidad_viento_kmh,condicion_climatica
5318,2024-07-21,Málaga,3,30.7,21.0,25.9,1.0,82,30.2,Parcialmente nublado
9647,2021-05-26,Valencia,6,25.7,16.1,20.9,2.7,51,72.4,Lluvia ligera
8229,2022-07-09,Barcelona,5,28.6,18.4,23.5,0,84,53.4,Nieve
12889,2020-04-09,Zaragoza,8,15.7,7.2,11.4,0.5,53,47.4,Lluvia fuerte
15198,2021-08-04,Murcia,9,29.9,19.4,24.6,0.5,66,33.0,Nublado
7735,2021-03-02,Barcelona,5,13.4,4.1,8.8,10.0,67,77.7,Niebla
9846,2021-12-11,Valencia,6,10.9,1.7,6.3,0,32,20.7,Despejado
429,2021-03-04,Granada,1,16.4,8.1,12.2,0.5,89,40.4,Nublado
910,2022-06-28,Granada,1,30.3,19.9,25.1,1.2,47,20.9,Niebla
964,2022-08-21,Granada,1,36.9,25.5,31.2,0.0,50,14.0,Parcialmente nublado
934,2022-07-22,Granada,1,30.9,22.5,26.7,10.7,87,26.0,Lluvia ligera
14624,2020-01-08,Murcia,9,15.9,5.5,10.7,2.4,93,79.7,Nublado
13300,2021-05-25,Zaragoza,8,20.1,13.0,16.6,5.8,84,34.3,Viento fuerte
2330,2021-05-17,Sevilla,2,24.2,13.9,19.1,5.9,67,21.9,Nieve
4200,2021-06-29,Málaga,3,30.5,16.8,23.6,0.6,90,72.6,Lluvia ligera
48,2020-02-17,Granada,1,18.3,6.5,12.4,0,35,27.8,Nieve
17052,2021-08-31,Almería,10,35.2,25.2,30.2,0.8,92,10.4,Lluvia ligera
17695,2023-06-05,Almería,10,31.5,21.2,26.4,4.3,49,40.8,Viento fuerte
1595,2024-05-13,Granada,1,25.2,13.8,19.5,1.5,51,53.8,Tormenta
8047,2022-01-08,Barceloña,5,14.8,3.7,9.2,0.3,40,31.8,Nublado
4395,2022-01-10,Málaga,3,17.1,8.3,12.7,2.1,69,67.1,Nublado
15697,2022-12-16,Murcia,9,11.9,1.7,6.8,3.6,65,37.9,Nublado
16991,2021-07-01,Almería,10,31.1,23.8,27.5,1.5,53,58.4,Viento fuerte
13178,2021-01-23,Zaragoza,8,14.3,3.2,8.8,0,67,79.3,Despejado
3731,2020-03-17,Málaga,3,17.2,7.1,12.1,0,83,19.0,Viento fuerte
1391,2023-10-22,Granada,1,24.2,14.6,19.4,0,30,37.0,Parcialmente nublado
7818,2021-05-24,Barcelona,5,20.6,10.4,15.5,0,95,64.8,Nublado
17891,2023-12-18,Almería,10,17.9,9.9,13.9,4.6,46,57.5,Lluvia ligera
8875,2024-04-15,Barcelona,5,18.4,8.5,13.4,0,38,50.8,Parcialmente nublado
804,2022-03-14,Granada,1,12.6,1.3,7.0,0,39,30.8,Niebla
14675,2020-02-28,Murcia,9,17.0,8.3,12.7,8.8,95,53.4,Lluvia fuerte
18205,2024-10-27,Almería,10,27.6,19.9,23.8,0.7,45,32.8,Tormenta
17174,2021-12-31,Almería,10,15.5,8.0,11.8,0.2,35,72.4,Despejado
9787,2021-10-13,Valencia,6,24.3,16.9,20.6,16.6,71,56.8,Nieve
4575,2022-07-09,Málaga,3,33.8,23.1,28.4,0,48,72.0,Viento fuerte
13030,2020-08-28,Zaragoza,8,33.1,20.1,26.6,7.0,30,0.5,Niebla
10616,2024-01-20,Valencia,6,12.9,0.9,6.9,3.4,35,11.2,Parcialmente nublado
10398,2023-06-16,Valencia,6,25.5,16.7,21.1,1.9,62,32.3,Viento fuerte
7638,2020-11-25,Barcelona,5,17.5,6.1,11.8,0,48,72.6,Lluvia fuerte
11430,2021-04-12,Bilbao,7,17.4,8.0,12.7,5.8,93,21.8,Viento fuerte
10036,2022-06-19,Valencia,6,21.7,14.4,18.1,1.1,53,64.5,Parcialmente nublado
12417,2023-12-25,Bilbao,7,14.3,7.4,10.9,0.8,58,71.6,Parcialmente nublado
5989,2021-05-22,Madrid,4,25.8,17.1,21.5,4.2,63,31.5,Despejado
12722,2024-10-25,Bilbao,7,23.6,11.1,17.4,1.1,95,44.1,Viento fuerte
15086,2021-04-14,Murcia,9,28.1,14.4,21.2,1.0,93,63.2,Niebla
9424,2020-10-15,Valencia,6,25.9,16.4,21.1,1.8,86,69.7,Despejado
11199,2020-08-24,Bilbao,7,21.9,14.7,18.3,0,73,7.1,Niebla
6870,2023-10-20,Madrid,4,17.2,9.5,13.3,0,39,37.2,Niebla
4585,2022-07-19,Málaga,3,30.6,22.0,26.3,0.7,41,69.7,Nieve
6957,2024-01-15,Madrid,4,11.8,2.0,6.9,0.1,90,39.8,Nieve
10098,2022-08-20,Valencia,6,33.6,23.7,28.6,0,85,56.1,Niebla
14802,2020-07-04,Murcia,9,30.7,22.2,26.4,0.3,82,37.2,Viento fuerte
17454,2022-10-07,Almería,10,31.8,22.6,27.2,0.6,73,65.3,Niebla
15675,2022-11-24,Murcia,9,17.7,9.7,13.7,0.7,53,3.9,Despejado
17173,2021-12-30,Almería,10,18.5,8.5,13.5,0,81,20.7,Lluvia ligera
11029,2020-03-07,Bilbao,7,10.4,1.7,6.0,6.2,92,62.1,Tormenta
1069,2022-12-04,Granada,1,10.5,0.9,5.7,0.7,59,57.9,Lluvia fuerte
2912,2022-12-20,Sevilla,2,17.1,6.6,11.9,0.3,95,50.4,Nieve
14868,2020-09-08,Murcia,9,32.5,22.0,27.2,0,78,75.5,Lluvia ligera
7436,2020-05-07,Barcelona,5,22.6,11.3,17.0,2.4,31,18.6,Parcialmente nublado
6360,2022-05-28,Madrid,4,19.4,8.7,14.0,1.1,45,22.6,Nublado
15992,2023-10-07,Murcia,9,21.9,13.3,17.6,9.0,31,15.3,Nublado
9451,2020-11-11,Valencia,6,20.2,8.3,14.2,0,41,44.4,Despejado
17634,2023-04-05,Almería,10,22.0,14.3,18.1,0.8,59,40.2,Despejado
77,2020-03-17,Granada,1,17.3,8.2,12.8,0.3,81,69.2,Despejado
6677,2023-04-10,Madrid,4,14.8,4.8,9.8,0.0,63,70.5,Parcialmente nublado
14174,2023-10-16,Zaragoza,8,18.9,8.1,13.5,4.8,50,18.9,Lluvia ligera
6474,2022-09-19,Madrid,4,19.8,11.0,15.4,7.2,93,9.4,Niebla
5237,2024-05-01,Málaga,3,21.9,12.7,17.3,2.2,74,77.2,Viento fuerte
2991,2023-03-09,Sevilla,2,17.8,10.1,13.9,8.2,44,57.5,Nieve
2648,2022-03-31,Sevilla,2,14.7,4.4,9.6,2.3,77,66.0,Lluvia ligera
12569,2024-05-25,Bilbao,7,21.2,10.3,15.8,0.3,30,55.5,Niebla
5590,2020-04-18,Madrid,4,14.0,4.1,9.1,0,87,38.0,Lluvia ligera
7674,2020-12-31,Barcelona,5,8.9,0.2,4.5,5.9,90,28.0,Lluvia fuerte
9760,2021-09-16,Valencia,6,26.5,15.6,21.1,0.0,91,66.2,Lluvia fuerte
7605,2020-10-23,Barcelona,5,19.3,12.1,15.7,0.2,47,21.4,Nieve
10088,2022-08-10,Valencia,6,31.4,20.0,25.7,0,42,40.9,Tormenta
5448,2024-11-28,Málaga,3,19.3,8.7,14.0,0.3,89,75.5,Parcialmente nublado
10921,2024-11-20,Valencia,6,19.9,8.4,14.1,2.1,82,37.9,Tormenta
7427,2020-04-28,Barcelona,5,20.7,7.8,14.2,0,71,60.1,Parcialmente nublado
1300,2023-07-23,Granada,1,30.6,19.4,25.0,8.3,70,1.1,Viento fuerte
12814,2020-01-25,Zaragoza,8,10.4,0.8,5.6,0,82,14.6,Parcialmente nublado
2420,2021-08-15,Sevilla,2,33.3,21.5,27.4,0.8,46,47.6,Tormenta
11571,2021-08-31,Bilbao,7,22.4,11.9,17.1,0.7,33,73.9,Nublado
7356,2020-02-17,Barcelona,5,12.7,2.4,7.5,1.6,55,16.5,Nieve
10376,2023-05-25,Valencia,6,21.4,12.2,16.8,4.1,103,12.4,Lluvia fuerte
2004,2020-06-25,Sevilla,2,31.0,19.9,25.4,3.2,85,32.8,Parcialmente nublado
2268,2021-03-16,Sevilla,2,17.6,5.8,11.7,3.0,76,79.6,Niebla
1351,2023-09-12,Granada,1,24.2,15.1,19.6,1.2,92,78.1,Niebla
14927,2020-11-06,Murcia,9,13.4,5.8,9.6,2.5,58,49.2,Lluvia ligera
10149,2022-10-10,Valencia,6,20.5,10.5,15.5,3.3,51,53.5,Nublado
6595,2023-01-18,Madrid,4,9.9,-3.1,3.4,1.9,89,67.4,Lluvia ligera
7244,2024-10-28,Madrid,4,17.1,7.3,12.2,0.2,41,62.1,Lluvia ligera
8582,2023-06-27,Barcelona,5,30.2,19.0,24.6,1.2,85,40.0,Viento fuerte
8897,2024-05-07,Barcelona,5,23.4,14.5,18.9,7.5,74,18.7,Nieve
8993,2024-08-11,Barcelona,5,27.7,17.5,22.6,2.9,58,39.4,Niebla
5746,2020-09-21,Madrid,4,22.4,12.4,17.4,1.1,33,41.1,Despejado
4125,2021-04-15,Málaga,3,15.4,8.2,11.8,0,75,56.5,Viento fuerte
8084,2022-02-14,Barcelona,5,17.3,4.7,11.0,0.7,75,53.3,Lluvia ligera
5641,2020-06-08,Madrid,4,27.0,18.4,22.7,2.6,38,68.0,Lluvia ligera
14955,2020-12-04,Murcia,9,17.7,7.7,12.7,2.8,65,56.3,Viento fuerte
12841,2020-02-21,Zaragoza,8,10.4,-0.2,5.1,0.2,83,14.6,Niebla
14785,2020-06-17,Murcia,9,30.3,16.4,23.4,3.3,39,71.6,Lluvia fuerte
12370,2023-11-08,Bilbao,7,12.8,4.2,8.5,6.9,95,41.9,Despejado
2708,2022-05-30,Sevilla,2,28.9,21.9,25.4,3.6,89,58.5,Nublado
12310,2023-09-09,Bilbao,7,25.1,13.5,19.3,0.0,48,32.1,Nieve
1182,2023-03-27,Granada,1,18.4,10.4,14.4,0,84,75.2,Lluvia ligera
8142,2022-04-13,Barcelona,5,20.0,9.3,14.7,0,88,9.6,Niebla
6084,2021-08-25,Madrid,4,26.5,13.7,20.1,11.6,32,65.5,Lluvia fuerte
3210,2023-10-14,Sevilla,2,24.4,14.8,19.6,0.3,38,20.0,Nieve
9208,2020-03-13,Valencia,6,19.7,7.0,13.3,14.5,38,67.9,Parcialmente nublado
13362,2021-07-26,Zaragoza,8,31.9,20.4,26.1,0,81,22.8,Parcialmente nublado
17477,2022-10-30,Almería,10,30.3,20.9,25.6,2.4,45,10.4,Nieve
16267,2024-07-08,Murcia,9,37.5,25.1,31.3,1.5,36,78.8,Niebla
12636,2024-07-31,Bilbao,7,26.8,15.2,21.0,3.3,76,6.5,Tormenta
522,2021-06-05,Granada,1,26.3,16.3,21.3,0.1,38,20.1,Lluvia fuerte
10190,2022-11-20,Valencia,6,19.7,9.1,14.4,4.9,39,16.6,Lluvia fuerte
3421,2024-05-12,Sevilla,2,28.9,19.9,24.4,4.0,61,0.7,Nieve
14973,2020-12-22,Murcia,9,15.6,7.6,11.6,0,75,18.0,Nieve
12009,2022-11-12,Bilbao,7,20.1,8.9,14.5,0,40,20.4,Despejado
13869,2022-12-15,Zaragoza,8,10.9,0.9,5.9,5.4,39,79.3,Lluvia ligera
2035,2020-07-26,Sevilla,2,29.3,22.3,25.8,1.3,73,9.6,Despejado
5521,2020-02-09,Madrid,4,5.1,-3.1,1.0,0.0,91,19.5,Niebla
9920,2022-02-23,Valencia,6,22.0,9.4,15.7,1.5,65,12.6,Lluvia fuerte
6302,2022-03-31,Madrid,4,10.5,0.5,5.5,7.5,36,43.9,Despejado
189,2020-07-07,Granada,1,30.2,18.9,24.5,3.8,47,42.4,Nieve
1186,2023-03-31,Granada,1,17.8,8.1,12.9,4.3,65,0.8,Nieve
8505,2023-04-11,Barcelona,5,24.8,16.0,20.4,0.3,34,52.3,Lluvia ligera
17675,2023-05-16,Almería,10,29.8,18.9,24.4,1.2,72,41.9,Nublado
14869,2020-09-09,Murcia,9,28.6,21.7,25.1,0.7,67,16.5,Nieve
2224,2021-01-31,Sevilla,2,17.7,7.0,12.3,0.5,70,63.0,Tormenta
12916,2020-05-06,Zaragoza,8,22.0,14.5,18.2,0,81,76.1,Niebla
6818,2023-08-29,Madrid,4,25.3,16.4,20.9,2.1,41,5.0,Tormenta
4732,2022-12-13,Málaga,3,17.0,7.2,12.1,3.2,30,48.6,Viento fuerte
6135,2021-10-15,Madrid,4,15.7,5.0,10.3,2.1,42,54.5,Tormenta
4495,2022-04-20,Málaga,3,19.7,11.9,15.8,2.2,31,75.3,Nieve
10931,2024-11-30,Valencia,6,19.4,8.9,14.1,0,43,63.4,Lluvia ligera
14256,2024-01-06,Zaragoza,8,9.7,1.5,5.6,0.1,42,7.3,Nublado
17095,2021-10-13,Almería,10,30.1,19.5,24.8,1.8,43,10.2,Despejado
15843,2023-05-11,Murcia,9,25.8,14.3,20.1,0,67,61.3,Tormenta
7531,2020-08-10,Barcelona,5,30.2,21.5,25.9,8.5,46,16.9,Niebla
15171,2021-07-08,Murcia,9,29.9,22.7,26.3,0.4,78,44.1,Viento fuerte
5273,2024-06-06,Málaga,3,25.5,14.9,20.2,2.8,93,35.5,Tormenta
1799,2024-12-03,Granada,1,10.6,-0.8,4.9,6.0,42,63.0,Nublado
3567,2024-10-05,Sevilla,2,18.3,11.1,14.7,0.9,76,65.0,Lluvia ligera
10955,2024-12-24,Valencia,6,14.1,4.3,9.2,0.3,95,48.7,Despejado
14739,2020-05-02,Murcia,9,27.0,16.4,21.7,5.1,67,36.8,Nublado
1535,2024-03-14,Granada,1,14.2,5.1,9.6,0,76,68.4,Niebla
16263,2024-07-04,Murcia,9,34.7,24.3,29.5,1.0,82,20.4,Nublado
16321,2024-08-31,Murcia,9,39.9,27.2,33.5,4.3,38,11.9,Tormenta
177,2020-06-25,Granada,1,25.8,14.2,20.0,3.4,72,10.7,Niebla
9428,2020-10-19,Valencia,6,25.5,17.3,21.4,0.5,68,51.5,Niebla
3080,2023-06-06,Sevilla,2,23.7,10.9,17.3,2.4,80,34.8,Tormenta
12698,2024-10-01,Bilbao,7,11.3,2.7,7.0,0.7,78,21.2,Nieve
3794,2020-05-19,Málaga,3,30.3,19.5,24.9,1.0,80,2.2,Lluvia ligera
14032,2023-05-27,Zaragoza,8,30.0,17.1,23.6,0.1,76,40.8,Lluvia ligera
6592,2023-01-15,Madrid,4,6.2,-4.4,0.9,0,37,48.5,Viento fuerte
15448,2022-04-11,Murcia,9,23.6,12.4,18.0,1.9,51,3.9,Lluvia ligera
4179,2021-06-08,Málaga,3,30.1,17.7,23.9,1.9,38,21.9,Despejado
16108,2024-01-31,Murcia,9,14.2,3.2,8.7,0.1,38,31.6,Nieve
1092,2022-12-27,Granada,1,16.0,6.1,11.1,5.1,51,67.1,Nublado
9796,2021-10-22,Valencia,6,26.9,16.4,21.6,0.7,48,18.5,Nublado
9891,2022-01-25,Valencia,6,14.0,3.9,8.9,1.4,73,63.2,Parcialmente nublado
17433,2022-09-16,Almería,10,32.9,24.1,28.5,0,42,5.3,Lluvia ligera
13218,2021-03-04,Zaragoza,8,15.3,3.4,9.3,3.5,69,58.2,Tormenta
2625,2022-03-08,Sevilla,2,19.9,10.4,15.1,0.3,37,31.2,Tormenta
6706,2023-05-09,Madrid,4,19.1,8.3,13.7,1.4,80,23.8,Niebla
18233,2024-11-24,Almería,10,24.9,12.5,18.7,9.2,81,66.5,Despejado
11044,2020-03-22,Bilbao,7,16.8,4.8,10.8,0.1,51,73.1,Lluvia fuerte
6179,2021-11-28,Madrid,4,10.9,1.3,6.1,0.4,63,50.8,Parcialmente nublado
16842,2021-02-02,Almería,10,19.9,9.7,14.8,0,44,43.2,Lluvia ligera
7916,2021-08-30,Barcelona,5,29.1,16.7,22.9,0.4,73,69.4,Despejado
7128,2024-07-04,Madrid,4,32.3,22.7,27.5,0.7,48,39.8,Despejado
8698,2023-10-21,Barcelona,5,14.1,5.4,9.8,2.3,72,57.5,Tormenta
9036,2024-09-23,Barcelona,5,28.8,18.0,23.4,0,46,18.2,Tormenta
2677,2022-04-29,Sevilla,2,25.1,14.5,19.8,0,71,72.8,Nieve
13581,2022-03-02,Zaragoza,8,12.1,3.1,7.6,0.7,83,11.2,Lluvia ligera
11383,2021-02-24,Bilbao,7,7.4,-2.1,2.7,10.2,33,35.6,Nieve
12056,2022-12-29,Bilbao,7,8.3,-0.2,4.1,0,50,65.3,Viento fuerte
4469,2022-03-25,Málaga,3,22.5,14.4,18.4,0,73,63.0,Viento fuerte
765,2022-02-03,Granada,1,19.5,10.3,14.9,1.3,30,74.6,Nieve
13675,2022-06-04,Zaragoza,8,31.2,19.4,25.3,4.7,67,51.6,Viento fuerte
13088,2020-10-25,Zaragoza,8,18.2,9.9,14.1,0,74,76.9,Lluvia ligera
10874,2024-10-04,Valencia,6,23.9,12.6,18.2,5.6,64,15.8,Lluvia ligera
12996,2020-07-25,Zaragoza,8,28.2,16.7,22.4,10.3,79,36.0,Niebla
12283,2023-08-13,Bilbao,7,21.7,15.4,18.6,0,55,1.5,Niebla
14659,2020-02-12,Murcia,9,17.3,6.9,12.1,1.3,44,63.1,Viento fuerte
9627,2021-05-06,Valencia,6,23.0,14.0,18.5,0,80,68.6,Despejado
12713,2024-10-16,Bilbao,7,17.3,6.8,12.1,0,86,52.0,Parcialmente nublado
3654,2024-12-31,Sevilla,2,16.9,4.1,10.5,0,48,73.1,Parcialmente nublado
17255,2022-03-22,Almería,10,17.0,7.9,12.4,5.4,47,37.0,Niebla
8184,2022-05-25,Barcelona,5,25.0,12.7,18.9,0,30,56.0,Nieve
6562,2022-12-16,Madrid,4,8.0,-0.0,4.0,9.4,41,77.2,Niebla
12662,2024-08-26,Bilbao,7,30.0,17.7,23.9,7.4,36,75.2,Niebla
1722,2024-09-17,Granada,1,30.3,19.1,24.7,0.1,36,26.0,Tormenta
14531,2024-10-07,Zaragoza,8,17.1,6.6,11.9,0,87,78.2,Tormenta
8911,2024-05-21,Barcelona,5,27.0,18.4,22.7,18.5,64,32.7,Nieve
1759,2024-10-24,Granada,1,24.3,12.1,18.2,0,41,53.1,Niebla
16571,2020-05-07,Almería,10,23.0,15.1,19.1,0,32,55.9,Despejado
13797,2022-10-04,Zaragoza,8,24.0,13.5,18.8,2.7,83,55.7,Lluvia ligera
15813,2023-04-11,Murcia,9,21.6,13.5,17.6,0,36,65.6,Viento fuerte
10861,2024-09-21,Valencia,6,25.5,15.0,20.2,7.0,41,72.5,Lluvia ligera
16330,2024-09-09,Murcia,9,32.8,21.5,27.1,0.1,77,11.1,Nieve
8813,2024-02-13,Barcelona,5,12.6,1.2,6.9,0.0,83,70.5,Nieve
6683,2023-04-16,Madrid,4,18.2,9.7,13.9,3.9,83,19.2,Parcialmente nublado
4523,2022-05-18,Málaga,3,24.5,15.8,20.1,0.8,47,71.5,Lluvia fuerte
7969,2021-10-22,Barcelona,5,17.2,9.4,13.3,5.0,88,64.4,Despejado
2797,2022-08-27,Sevilla,2,35.0,27.5,31.2,6.3,93,21.0,Niebla
5646,2020-06-13,Madrid,4,19.0,11.0,15.0,12.2,78,41.1,Lluvia fuerte
18188,2024-10-10,Almería,10,20.3,12.7,16.5,2.4,87,55.1,Viento fuerte
11005,2020-02-12,Bilbao,7,16.5,8.1,12.3,0,57,45.0,Parcialmente nublado
13838,2022-11-14,Zaragoza,8,19.8,8.0,13.9,4.6,60,61.5,Parcialmente nublado
11256,2020-10-20,Bilbao,7,16.8,9.4,13.1,0,88,70.1,Nublado
3572,2024-10-10,Sevilla,2,18.3,10.6,14.4,5.6,81,26.3,Tormenta
4671,2022-10-13,Málaga,3,29.4,21.8,25.6,1.0,92,43.0,Despejado
743,2022-01-12,Granada,1,9.3,-1.5,3.9,0.8,67,23.1,Despejado
17637,2023-04-08,Almería,10,19.2,11.7,15.4,0,67,58.9,Viento fuerte
7721,2021-02-16,Barcelona,5,13.7,-0.2,6.8,0,91,5.8,Viento fuerte
3987,2020-11-28,Málaga,3,17.6,8.3,13.0,2.5,82,49.2,Nieve
9839,2021-12-04,Valencia,6,15.2,5.5,10.3,10.1,30,0.8,Niebla
4695,2022-11-06,Málaga,3,20.8,8.9,14.9,10.4,53,63.9,Lluvia ligera
8343,2022-10-31,Barcelona,5,25.2,16.6,20.9,1.1,68,64.7,Nublado
7624,2020-11-11,Barcelona,5,20.9,8.2,14.5,0.5,50,21.0,Lluvia ligera
8350,2022-11-07,Barcelona,5,15.7,6.0,10.8,0,58,65.1,Niebla
15405,2022-02-27,Murcia,9,11.4,1.5,6.5,3.3,35,29.6,Nublado
1800,2024-12-04,Granada,1,17.5,7.7,12.6,5.8,72,68.2,Niebla
15598,2022-09-08,Murcia,9,26.3,14.8,20.6,0,93,6.1,Viento fuerte
12275,2023-08-05,Bilbao,7,26.5,13.1,19.8,0,33,68.2,Lluvia fuerte
2116,2020-10-15,Sevilla,2,32.8,21.3,27.0,9.7,94,73.3,Despejado
4728,2022-12-09,Málaga,3,20.7,10.2,15.4,0,88,17.8,Niebla
1857,2020-01-30,Sevilla,2,16.6,7.2,11.9,0,38,11.2,Nublado
13338,2021-07-02,Zaragoza,8,35.7,23.1,29.4,1.3,91,4.4,Viento fuerte
8937,2024-06-16,Barcelona,5,24.0,13.2,18.6,2.8,70,39.2,Despejado
8024,2021-12-16,Barcelona,5,8.0,-1.9,3.0,1.1,93,16.2,Parcialmente nublado
6168,2021-11-17,Madrid,4,14.0,2.1,8.1,0,76,64.7,Viento fuerte
14495,2024-09-01,Zaragoza,8,25.0,14.7,19.9,0.9,77,66.3,Tormenta
6546,2022-11-30,Madrid,4,13.9,3.3,8.6,0.2,71,70.3,Lluvia fuerte
2007,2020-06-28,Sevilla,2,24.5,11.9,18.2,1.0,71,59.6,Nieve
115,2020-04-24,Granada,1,14.5,5.3,9.9,0,46,63.0,Lluvia fuerte
17688,2023-05-29,Almería,10,25.2,15.5,20.4,0.1,76,16.5,Tormenta
119,2020-04-28,Granada,1,18.8,10.9,14.9,0,83,42.1,Nublado
9144,2020-01-09,Valencia,6,19.2,10.7,14.9,10.7,70,78.6,Nublado
2159,2020-11-27,Sevilla,2,17.0,7.8,12.4,0,69,68.0,Tormenta
3211,2023-10-15,Sevilla,2,21.5,9.1,15.3,0,39,43.9,Nublado
